,Tables,Count
329,277 277  -1 466 237 811 465 190 ,5635
330,716 21 ,5631
331,212 730  -1 466 466 638 28 222 758 649 811 663 759 759 ,5616
332,243 466 638 811 811 512 ,5614
333,178 638 502 651 620 649 474 ,5592
334,316 638 ,5557
335,212 466 166 649 811 ,5556
336,513 127 146 344 178 466 638 681 207 207 401 23 649 811 185 ,5550
337, -1 218 466 711 638 343 273 817 166 543 543 543 649 811 209 759 759 ,5544
338,638 166 649 ,5540
339,127 466 681 759 ,5537
340,466 638 817 644 328 682 481 ,5533
341,466 511 638 811 209 759 759 293 293 674 45 672 ,5522
342,817 612 328 682 481 ,5514
343,366 716 127  -1  -1 466 638 811 156 303 644 167 759 342 ,5490
344,466 511 638 811 209 759 ,5485
345,638 543 649 811 ,5484
346,466 811 759 132 ,5468
347,730 730 730 730 466 582 257 711 511 511 511 638 343 28 200 200 811 811 811 811 811 811 811 209 209 209 209 539 138 70 663 663 663 663 663 663 ,5436
348,714 371 638 811 644 ,5412
349,638 811 644 ,5412
350,127 638 811 ,5406
351,752 334 618 256 527 ,5400
352,184  -1 641 638 633 468 281 195 ,5393
353,277 466 638 811 209 ,5393
354,730 811 209 612 ,5362
355, -1 218 218 638 817 817 811 ,5358
356,277  -1 638 28 166 237 811 209 190 628 ,5352
357,243 277  -1 638 555 200 811 209 759 122 122 132 ,5328
358,638 166 543 649 811 759 ,5325
359,466 638 630 811 759 ,5300
360,755 789 ,5300
361,277 316 811 ,5296
362,277 466 466 638 811 ,5284
363,186 186 186 168 573 721  -1  -1 466 638 28 28 775 811 292 759 759 ,5270
364,774 638 543 649 811 209 ,5255
365,212 277 556 428  -1 466 166 482 649 237 811 209 767 759 190 785 ,5250
366,218 218 638 817 817 811 ,5250
367,730 811 ,5247
368,506 558 145 24 93 ,5244
369,366 463 218  -1 711 638 817 508 811 644 770 ,5229
370,277 277 277 277 746 316 638 811 512 ,5224
371, -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1  -1 466 711 511 638 343 28 811 209 663 663 663 759 759 149 521 150 154 806 349 ,5220
372,723 346 405 781 219 125 ,5220
373, -1  -1  -1  -1 466 638 28 394 166 649 811 759 52 52 512 ,5210
374,178 466 638 649 811 185 86 ,5202
375,178 638 166 620 649 811 759 ,5196
376,31 437 437 437 505 505 207 164 164 164 401 401 401 401 401 401 401 534 502 24 24 474 ,5170
377,149 149 149 521 806 ,5152
378,730 466 466 638 166 649 811 663 759 759 ,5138
379,699 277 277  -1 466 774 811 ,5130
380,127 763 ,5092
381,277 277 232 428 343 166 482 649 811 209 552 759 481 ,5088
382,711 511 638 343 811 209 70 759 759 481 481 ,5082
383,716 127 763 638 805 343 303 644 167 ,5070
384,127 127 127 127 178  -1  -1  -1 466 638 681 681 681 681 401 401 401 401 166 620 820 820 820 820 23 23 23 23 811 759 ,5070
385,466 774 207 166 543 543 23 649 811 759 ,5024
386,212  -1 483 466 316 638 482 543 649 811 209 759 ,5016
387,511 638 166 543 93 649 811 759 ,5016
388,466 711 638 189 343 811 209 759 759 ,5005
389,277 638 237 811 190 ,4992
390,243 277 638 ,4991
391,213 398 145 24 24 409 ,4984
392,218 638 817 ,4981
393,277 466 638 820 820 649 811 759 ,4977
394,127 466 466 638 303 798 616 106 370 58 280 ,4968
395,711 638 343 549 200 ,4964
396,178 638 261 28 649 811 569 759 ,4949
397,241 383 252 487 ,4944
398, -1 638 649 811 ,4944
399,277 218 466 638 811 ,4928
400,819 490 83 743 728 287 ,4920
401,213 398 442 145 24 24 409 676 ,4920
402,638 296 620 649 811 399 ,4914
403, -1 812 679 679 709 709 758 811 ,4912
404,232 565 145 767 ,4908
405,277 277 277 277 277 638 28 811 190 628 ,4902
406,277 466 638 649 811 ,4894
407,511 638 759 ,4890
408,689 274 557 704 277 277 785 ,4876
409,466 466 316 638 811 175 644 ,4872
410,466 638 166 543 649 811 209 ,4854
411,689 277 711 638 343 811 209 759 785 ,4848
412,699 372 277 277  -1 218  -1  -1  -1 466 638 380 649 811 759 759 759 759 524 293 674 61 45 ,4848
413,811 209 663 663 149 521 ,4840
414,466 316 166 543 649 811 209 759 759 ,4830
415,466 711 638 343 811 70 759 481 ,4830
416,730 730  -1  -1  -1  -1 811 209 612 249 663 663 ,4816
417,730  -1 711 638 200 811 552 663 ,4812
418,582 638 811 674 45 114 ,4812
419,178 638 261 649 811 759 ,4810
420,253 253 466 638 811 209 759 519 564 ,4806
421,311 234 759 759 519 473 ,4805
422,218 638 817 811 ,4800
423,277 466 316 638 811 ,4772
424,464 745 454 466 649 811 ,4770
425,466 316 638 811 209 209 644 ,4765
426,287 287 287 287 299 785 785 785 785 785 ,4743
427,243 559 428 638 482 649 811 759 519 49 ,4734
428,638 681 ,4729
429,714 371 466 638 343 811 644 770 ,4725
430,178 316 401 543 23 649 ,4725
431,612 481 481 481 ,4725
432,243 775 759 547 ,4716
433,638 797 799 580 ,4707
434,24 409 476 120 572 498 ,4690
435,127 466 638 811 ,4689
436,166 578 380 649 811 811 209 ,4686
437,178 638 54 174 620 811 185 ,4674
438,466 638 166 649 811 759 759 ,4672
439, -1 178  -1  -1  -1  -1  -1 638 174 651 620 649 811 ,4668
440,277 466 638 28 28 101 811 811 209 564 ,4662
441,127 763 506 506 506 638 811 209 209 303 644 ,4660
442,218 466 638 817 811 209 ,4648
443,398 145 24 ,4640
444,220  -1 466 774 638 649 233 302 811 759 ,4632
445,218 817 293 674 45 ,4624
446,277 193 543 649 ,4597
447, -1 24 93 1 409 676 476 120 498 ,4592
448, -1 209 248 ,4592
449, -1 774 296 620 649 811 ,4590
450,218 774 649 811 ,4581
451,746 638 811 ,4576
452,466 638 166 649 759 ,4550
453,466 466 511 638 811 759 ,4544
454,127 466 638 681 273 817 27 649 811 209 759 759 481 50 441 ,4537
455,699 277 277 277 746 466 316 638 811 ,4536
456,711 343 555 200 811 209 551 318 552 759 149 149 729 ,4524
457,277 466 466 638 420 28 166 145 811 759 ,4522
458,277 511 343 811 209 552 759 481 ,4522
459,428 726 565 466 166 482 649 811 209 767 759 ,4500
460,730 730 466 711 638 343 200 200 811 209 552 663 663 ,4488
461,253 277  -1 466 638 811 209 723 346 329 405 781 132 516 516 538 564 ,4470
462, -1 638 649 811 ,4468
463,218 466 638 817 817 233 811 111 ,4466
464,184 277 466 638 811 ,4464
465,285 129 215 714 804 533 716 371 429 525 466 638 343 792 338 644 ,4455
466,466 466 638 189 189 200 811 ,4455
467,466 774 511 638 252 811 759 487 ,4452
468,316 638 811 ,4452
469,264 573 466 638 775 811 209 209 759 759 564 ,4431
470,445 573 775 ,4428
471,243 277 466 638 811 759 ,4427
472,466 638 811 209 759 293 674 45 ,4417
473,366 805 167 342 ,4402
474,466 638 811 209 759 293 674 45 672 ,4384
475, -1 218 466 711 511 638 343 343 555 817 811 552 70 759 759 481 481 ,4380
476,218 466 638 817 649 811 ,4370
477,730 277  -1 466 511 638 28 145 543 543 649 811 759 190 628 ,4350
478,277 543 649 ,4348
479, -1 466 466 638 296 166 166 649 811 759 759 ,4347
480,466 511 638 811 209 612 ,4339
481,711 638 343 811 ,4338
482,194 372 277 277  -1  -1 543 649 287 287 299 ,4330
483,277 377 60 659 102 565  -1 309 ,4298
484,277 638 132 607 ,4293
485,178 178  -1  -1  -1  -1 466 316 711 711 711 511 638 343 343 343 792 792 792 505 401 401 500 174 166 620 649 811 209 185 759 759 481 481 ,4290
486,243 466 638 811 759 512 ,4270
487,714 371 638 343 644 815 404 ,4266
488,277 466 638 811 209 759 564 ,4266
489,496 513  -1  -1  -1 466 638 27 811 209 759 441 208 ,4257
490, -1 466 638 543 649 811 ,4252
491,277 638 759 ,4242
